Date,aapl,csco,ibm,msft
2000-09-11,58.437499,61.1875,124.5,68.8125
2000-09-12,57.75,58.875,125.0,68.125
2000-09-13,57.999999,61.3125,127.6875,68.25
2000-09-14,56.859299,61.25,126.875,65.8125
2000-09-15,55.234302,62.75,125.0,64.1875
2000-09-18,60.656201,60.0625,123.25,63.0
2000-09-19,59.9375,62.0,124.9375,65.0
2000-09-20,61.046798,63.125,124.75,64.25
2000-09-21,56.687499,61.125,121.5,64.1875
2000-09-22,52.1875,60.3125,123.875,63.25
2000-09-25,53.5,57.1875,123.0,61.25
2000-09-26,51.437499,55.1875,119.125,62.6875
2000-09-27,48.937499,57.3125,118.0,60.625
2000-09-28,53.5,59.4375,115.25,61.3125
2000-09-29,25.75,55.25,112.625,60.3125
2000-10-02,24.249999,55.5,117.8125,59.125
2000-10-03,22.3125,56.25,110.5625,56.5625
2000-10-04,23.625,58.5625,114.375,55.4375
2000-10-05,22.062499,57.5625,113.1875,55.375
2000-10-06,22.1875,56.1875,116.0,55.5625
2000-10-09,21.75,53.6875,117.9375,54.1875
2000-10-10,20.875,51.125,114.875,54.5625
2000-10-11,19.625,51.1875,112.0,55.75
2000-10-12,20.0,49.8125,103.125,54.375
2000-10-13,22.062499,56.0625,109.0625,53.75
2000-10-16,21.5,54.5,111.125,50.375
2000-10-17,20.125,54.5625,113.0,50.4375
2000-10-18,20.125,52.25,95.4375,51.75
2000-10-19,18.9375,58.25,96.4375,61.875
2000-10-20,19.500001,57.3125,94.75,65.1875
2000-10-23,20.375001,55.875,92.875,62.125
2000-10-24,18.875,54.875,91.4375,61.5
2000-10-25,18.5,50.625,87.5625,61.25
2000-10-26,18.5,53.5625,92.75,64.4375
2000-10-27,18.562499,50.6875,93.6875,67.6875
2000-10-30,19.3125,48.0625,93.3125,69.0625
2000-10-31,19.5625,53.875,98.5,68.875
2000-11-01,20.5,52.125,98.5625,69.625
2000-11-02,22.3125,55.75,101.9375,70.3125
2000-11-03,22.25,56.75,100.125,68.25
2000-11-06,21.4375,55.125,100.3125,69.5
2000-11-07,21.3125,56.75,102.3125,70.5
2000-11-08,20.0625,52.125,100.0,69.4375
2000-11-09,20.1875,53.25,99.4375,70.875
2000-11-10,19.062501,50.0625,93.0,67.375
2000-11-13,19.375,50.375,97.4375,66.4375
2000-11-14,20.25,53.125,99.5,68.8125
2000-11-15,19.874999,53.5625,99.375,70.0625
2000-11-16,18.999999,51.0625,98.25,68.9375
2000-11-17,18.5,52.75,101.9375,69.0625
2000-11-20,18.9375,51.25,103.25,67.1875
2000-11-21,18.8125,53.6875,98.5,67.75
2000-11-22,18.5,50.5625,98.5,68.25
2000-11-24,19.3125,52.6875,99.9375,69.9375
2000-11-27,18.6875,51.25,98.4375,70.6875
2000-11-28,18.0312,51.0,97.875,67.0
2000-11-29,17.5625,51.6875,99.8125,65.0625
2000-11-30,16.5,47.875,93.5,57.375
2000-12-01,17.0625,48.5,95.625,56.625
2000-12-04,16.6875,45.8125,98.375,56.4375
2000-12-05,17.0,52.125,103.375,59.875
2000-12-06,14.3125,51.4375,96.75,56.6875
2000-12-07,14.3125,49.9375,93.125,53.125
2000-12-08,15.062499,52.375,97.0,54.4375
2000-12-11,15.1875,54.8125,95.0,58.0625
2000-12-12,15.375,54.375,93.875,58.375
2000-12-13,15.0,51.125,91.25,57.25
2000-12-14,14.4375,50.9375,92.4375,55.5
2000-12-15,14.0625,48.171879,87.8125,49.1875
2000-12-18,14.250001,42.9375,90.5,47.8125
2000-12-19,14.0,41.75,90.125,44.8125
2000-12-20,14.375,36.5,86.0,41.5
2000-12-21,14.0625,38.875,81.5625,43.4375
2000-12-22,15.0,41.5,89.0,46.4375
2000-12-26,14.687501,40.75,84.8125,46.875
2000-12-27,14.8125,40.75,84.6875,46.4375
2000-12-28,14.8125,39.5625,85.25,44.5625
2000-12-29,14.875,38.25,85.0,43.375
2001-01-02,14.875,33.3125,84.8125,43.375
2001-01-03,16.374999,41.3125,94.625,47.9375
2001-01-04,17.0625,41.875,93.1875,48.4375
2001-01-05,16.374999,36.625,94.0,49.125
2001-01-08,16.5625,36.546879,93.5625,48.9375
2001-01-09,17.1875,37.125,92.5625,51.8125
2001-01-10,16.5625,36.25,93.4375,52.875
2001-01-11,18.0,39.125,93.6875,55.0
2001-01-12,17.1875,38.0625,93.8125,53.5
2001-01-16,17.125,38.5,92.75,52.5625
2001-01-17,16.812499,39.0,96.6875,52.9375
2001-01-18,18.6875,41.875,108.3125,55.5
2001-01-19,19.500001,40.375,111.25,61.0
2001-01-22,19.25,41.4375,108.5625,60.125
2001-01-23,20.5,42.625,109.0625,60.5625
2001-01-24,20.5,42.5625,110.4375,62.9375
2001-01-25,19.937501,39.3125,110.75,61.8125
2001-01-26,19.5625,38.375,114.1875,64.0
2001-01-29,21.687501,37.25,114.980003,64.5
2001-01-30,21.75,38.0,116.610001,63.375
2001-01-31,21.624999,37.4375,112.0,61.0625
2001-02-01,21.125,38.25,114.050003,62.375
2001-02-02,20.625,35.5,110.269997,60.8125
2001-02-05,20.1875,34.5625,112.220001,61.9375
2001-02-06,21.125,35.75,114.190002,62.5625
2001-02-07,20.749999,31.0625,116.910004,64.6875
2001-02-08,20.749999,30.0,114.099998,62.25
2001-02-09,19.125,28.1875,112.0,59.125
2001-02-12,19.6875,29.5625,114.900002,58.75
2001-02-13,19.125,28.5,113.75,58.1875
2001-02-14,19.500001,29.375,115.099998,58.375
2001-02-15,20.0625,30.8125,116.779999,58.8125
2001-02-16,18.999999,28.25,115.0,57.3125
2001-02-20,18.3125,26.0625,111.5,55.875
2001-02-21,18.875,25.125,107.510002,56.25
2001-02-22,18.8125,26.4375,108.900002,55.1875
2001-02-23,18.8125,27.0,104.0,56.75
2001-02-26,19.500001,26.0625,105.300003,59.5625
2001-02-27,19.375,24.0,102.589996,59.375
2001-02-28,18.25,23.6875,99.900002,59.0
2001-03-01,18.75,24.5,106.050003,59.359379
2001-03-02,19.25,22.1875,102.300003,56.6875
2001-03-05,20.375001,23.078119,104.910004,57.4375
2001-03-06,21.5,24.0,106.0,59.4375
2001-03-07,21.250001,24.0,107.550003,60.6875
2001-03-08,20.812501,22.8125,106.470001,59.25
2001-03-09,20.25,20.625,99.290001,56.6875
2001-03-12,18.625001,18.8125,95.489998,51.9375
2001-03-13,19.5625,21.375,98.389999,54.1875
2001-03-14,20.4375,20.25,94.959999,54.0
2001-03-15,19.6875,20.3125,95.559998,53.6875
2001-03-16,19.625,19.9375,90.099998,54.5625
2001-03-19,20.5625,20.8125,92.599998,54.3125
2001-03-20,19.6875,19.0625,88.300003,52.6875
2001-03-21,20.125,19.3125,89.08000200000002,50.0625
2001-03-22,21.624999,19.75,89.099998,54.0
2001-03-23,23.000001,18.6875,93.510002,56.5625
2001-03-26,21.779999,17.875,95.400002,56.0625
2001-03-27,22.869999,18.125,99.5,58.25
2001-03-28,22.17,15.75,94.410004,55.5625
2001-03-29,22.53,15.25,95.040001,55.375
2001-03-30,22.069999,15.8125,96.18,54.6875
2001-04-02,21.59,15.0625,94.660004,55.8125
2001-04-03,20.239999,13.75,90.389999,53.375
2001-04-04,19.500001,13.6875,92.0,51.9375
2001-04-05,20.87,14.9375,98.209999,56.75
2001-04-06,20.590001,13.625,97.949997,56.1875
2001-04-09,20.539999,14.49,96.0,57.150002
2001-04-10,22.04,15.86,99.050003,59.68
2001-04-11,21.8,17.4,97.43,60.040001
2001-04-12,22.420001,17.98,96.199997,62.18
2001-04-16,21.44,17.200001,96.75,60.790001
2001-04-17,20.4,16.66,99.699997,61.48
2001-04-18,22.789999,17.93,106.5,65.43
2001-04-19,25.72,18.91,114.470001,68.040001
2001-04-20,25.040001,19.15,114.830002,69.0
2001-04-23,24.249999,17.33,112.0,68.25
2001-04-24,24.029999,16.26,112.669998,67.550003
2001-04-25,24.72,15.73,114.849998,69.690002
2001-04-26,24.689999,15.21,113.739998,69.129997
2001-04-27,26.200001,15.6,116.199997,67.120003
2001-04-30,25.489999,16.98,115.139999,67.75
2001-05-01,25.929999,17.799999,118.510002,70.16999799999999
2001-05-02,26.589999,20.0,115.400002,69.760002
2001-05-03,24.960001,18.66,113.699997,68.529999
2001-05-04,25.75,19.639999,115.860001,70.75
2001-05-07,24.960001,19.25,115.900002,71.379997
2001-05-08,24.57,20.379999,117.699997,72.059998
2001-05-09,23.98,19.129999,116.980003,70.400002
2001-05-10,23.000001,18.83,115.199997,70.0
2001-05-11,22.850001,19.049999,111.809998,69.400002
2001-05-14,23.290001,18.57,112.559998,68.720001
2001-05-15,23.18,18.74,113.580002,68.269997
2001-05-16,24.099999,20.0,115.800003,69.160004
2001-05-17,23.55,19.860001,115.07,68.16999799999999
2001-05-18,23.529999,20.200001,117.440002,68.089996
2001-05-21,23.56,22.870001,119.040001,68.790001
2001-05-22,23.5,23.48,118.010002,70.309998
2001-05-23,23.229999,22.360001,117.400002,69.699997
2001-05-24,23.2,22.91,119.599998,71.720001
2001-05-25,22.76,22.049999,117.800003,70.910004
2001-05-29,21.470001,20.459999,115.269997,70.339996
2001-05-30,19.78,19.0,112.650002,69.190002
2001-05-31,19.949999,19.26,111.800003,69.18
2001-06-01,20.890001,18.85,112.889999,70.339996
2001-06-04,20.660001,19.73,113.639999,70.779999
2001-06-05,20.94,21.540001,116.970001,72.599998
2001-06-06,20.73,20.76,117.5,72.360001
2001-06-07,21.66,21.82,117.25,73.68
2001-06-08,21.320001,20.49,116.099998,73.190002
2001-06-11,20.04,20.379999,117.360001,72.120003
2001-06-12,20.309999,20.370001,117.25,72.08000200000002
2001-06-13,20.47,19.02,116.540001,70.690002
2001-06-14,19.879999,17.74,115.75,68.900002
2001-06-15,20.440001,16.65,113.599998,68.019997
